Afrikaans	Danish	Dutch	English	Esperanto	Filipino	French	German	Hawaiian	Irish	Italian	Latin	Maori	Norwegian	Portuguese	Sachin-Speak	Spanish	Swahili	Swedish	Welsh	Zulu	
praat	tale	spreken	speak	paroli	magsalita	parler	sprechen	olelo	labhairt	parlare	dicere	korero	snakke	falar	?	hablar	kusema	tala	siarad	ukhulume	
gewig	vægt	gewicht	weight	pezo	timbang	poids	gewicht	kaumaha	meáchan	peso	pondus	taimaha	vekt	peso	?	peso	uzito	vikt	pwysau	isisindo	
algemene	generelt	algemeen	general	ĝenerala	pangkalahatan	général	allgemein	nui	ginearálta	generale	generalis	whānui	generell	geral	?	general	ujumla	allmän	gyffredinol	jikelele	
ys	is	ijs	ice	glacio	yelo	glace	eis	hau	oighear	ghiaccio	glaciem	te huka	is	gelo	?	hielo	barafu	is	iâ	iqhwa	
saak	stof	aangelegenheid	matter	afero	bagay	question	materie	mea	ábhar	materia	materia	mea	saken	assunto	?	materia	jambo	materia	mater	udaba	
sirkel	cirkel	cirkel	circle	rondo	lupon	cercle	kreis	kaiapili	ciorcal	cerchio	circulus	porowhita	sirkel	círculo	?	círculo	mzunguko	cirkel	cylch	jikeleza	
paar	pair	paar	pair	paro	pares	paire	paar	mau	péire	coppia	par	takirua	pair	par	?	par	jozi	par	pâr	okubili	
sluit	omfatter	omvatten	include	inkluzivi	isama	inclure	umfassen	nā	i measc na	includere	comprehendo	ngā	inkludere	incluir	?	incluir	ni pamoja na	inkluderar	cynnwys	zihlanganisa	
verdeel	kløft	kloof	divide	dividi	hatiin	fracture	kluft	māhele	deighilt	divide	divide	wehenga	dividere	dividir	?	brecha	mgawanyiko	divide	rhaniad	ahlukanisa	
lettergreep	stavelse	lettergreep	syllable	silabo	pantig	syllabe	silbe	syllable	siolla	sillaba	syllabae	haukūoro	stavelse	sílaba	?	sílaba	silabi	stavelse	sillaf	uhlamvu	
gevoel	filt	vilt	felt	sentis	pyeltro	feutre	filz	manaʻo	bhraith	feltro	sensi	ua	følte	sentido	?	sentido	waliona	kände	teimlwyd	wazizwa	
grand	store	grand	grand	grandioza	malaki at maganda	grandiose	groß	luna nui	mhór	grande	magnificum	rahi	grand	grande	?	gran	kuu	stors	mawreddog	omkhulu	
bal	kugle	bal	ball	pilko	ball	balle	kugel	poepoe	liathróid	palla	pila	pōro i	ballen	bola	?	bola	mpira	boll	pêl	ngebhola	
nog	endnu	nog	yet	ankoraŭ	pa	encore	noch	aka	fós	ancora	sed	ano	ennå	ainda	?	aún	bado	ännu	eto	nokho	
golf	bølge	wave	wave	ondo	alon	vague	welle	hawewe	tonn	onda	unda	poipoi	wave	onda	?	ola	wimbi	våg	don	qhweba	
drop	drop	laten vallen	drop	faligi	drop	tomber	fallen	papa	titim	cadere	concrescunt	maturuturu	slipp	cair	?	caer	kuacha	släpp	gollwng	yokwehlisela	
hart	hjerte	hart	heart	koro	puso	cœur	herz	puʻuwai	croí	cuore	cor	ngakau	hjerte	coração	?	corazón	moyo	hjärta	galon	inhliziyo	
is	am	ben	am	estas	am	h	uhr	no	rn	am	sum	ahau	am	am	?	am	ni	jag	wyf	ngiyindlela	
huidige	til stede	aanwezig	present	ĉeestanta	kasalukuyan	présent	vorhanden	keia	i láthair	presente	praesens	reira	stede	presente	?	presente	sasa	föreliggande	bresennol	okwamanje	
swaar	tung	zwaar	heavy	peza	mabigat	lourd	schwer	kaumaha	trom	pesante	magna	taimaha	tung	pesado	?	pesada	nzito	tung	trwm	esindayo	
dans	dans	dans	dance	danco	sayaw	danse	tanz	hula	rince	danza	chorea	kanikani	dans	dança	?	danza	ngoma	dans	dawns	dance	
enjin	motor	motor	engine	motoro	engine	moteur	motor	engine	inneall	motore	engine	pūkaha	motor	motor	?	motor	injini	motor	peiriant	injini	
posisie	stilling	positie	position	pozicion	posisyon	position	position	wahi	seasamh	posizione	locus	tūnga	stilling	posição	?	posición	nafasi	ställning	sefyllfa	isikhundla	
arm	armen	arm	arm	brako	braso	bras	arm	lima	lámh	braccio	brachium	ringa	arm	braço	?	brazo	mkono	beväpnar	braich	ingalo	
wye	bred	breed	wide	larĝa	malawak	large	breit	ka laula	ar fud an	ampio	wide	whānui	wide	ampla	?	amplio	pana	bred	eang	ububanzi	
vaar	sejl	zeil	sail	velo	layag	voile	segel	holo	seol	vela	vela	rere	seil	vela	?	vela	meli	segel	hwylio	useyili	
materiaal	materiale	materiaal	material	materialon	materyal	matériel	material	mea	ábhar	materiale	material	rauemi	material	material de	?	materiales	vifaa	materialet	deunydd	material	
breuk	fraktion	fractie	fraction	frakcio	maliit na bahagi	fraction	fraktion	mahele	chodán	frazione	fractionem	hautanga	brøkdel	fração	?	fracción	sehemu	fraktion	ffracsiwn	ingxenyenamba	
bos	skov	bos	forest	arbaro	gubat	forêt	wald	nahele	foraoise	foresta	saltus	ngahere	skog	floresta	?	bosque	msitu	skog	goedwig	ihlathi	
sit	sidde	zitten	sit	sidiĝi	umupo	s’asseoir	sitzen	noho	suí	sedersi	sedebitis	noho	sitte	sentar-se	?	sentarse	kukaa	sitta	eistedd	ahlale	
ras	løb	ras	race	raso	lahi	course	rennen	lāhui	cine	gara	generis	iwi	veddeløp	corrida	?	carrera	mbio	ras	hil	uhlanga	
venster	vindue	venster	window	fenestro	window	fenêtre	fenster	puka makani	fuinneog	finestra	fenestram	matapihi	vindu	janela	?	ventana	dirisha	fönster	ffenestr	iwindi	
winkel	butik	winkel	store	vendejo	tindahan	magasin	speicher	hale kūʻai	siopa	negozio	store	toa	butikken	loja	?	tienda	kuhifadhi	lagra	siop	esitolo	
somer	sommer	zomer	summer	someron	tag-araw	été	sommer	ke kau	samhradh	estate	aestas	raumati	sommer	verão	?	verano	majira ya joto	sommar	haf	ehlobo	
trein	tog	trein	train	trajno	tren	train	zug	nalowale	traein	treno	erant	tereina	tog	trem	?	tren	treni	tåg	trên	isitimela	
slaap	søvn	slaap	sleep	dormo	tulog	sommeil	schlaf	hiamoe	codlata	sonno	somnum	moe	søvn	sono	?	sueño	usingizi	sömn	cysgu	sokulala	
bewys	bevise	bewijzen	prove	elprovi	patunayan	prouver	beweisen	hoao	chruthú	dimostrare	probant	hei whakamatautau	bevise	provar	?	demostrar	kuthibitisha	bevisa	profi	afakazele	
eensaam	enlig	eenzame	lone	lone	kaisa-isa	seul	einsam	lone	aonaracha	solitario	agitur	ana’e	lone	solitário	?	solitario	ya lone	ensam	eich pen eich hun	oyedwa waba	
been	ben	been	leg	kruro	binti	jambe	bein	wawae	cos	gamba	leg	waewae	leg	perna	?	pierna	mguu	ben	goes	emlenzeni	
oefening	motion	oefening	exercise	ekzerco	pagsasanay	exercice	übung	me ka	a fheidhmiú	esercizio	exercitium	mahi	trening	exercício	?	ejercicio	zoezi	övning	ymarfer corff	umsebenzi	
muur	væg	muur	wall	muro	pader	mur	wand	pa	balla	muro	murum	taiepa	veggen	parede	?	pared	ukuta	vägg	wal	udonga	
vangs	fangst	vangst	catch	catch	catch	capture	fang	hoopahele ae la i	ghabháil	prendere	captiones	hao	fangst	captura	?	capturas	kukamata	fångst	dal	bamba	
berg	monteringstid	berg	mount	monto	may kabit	monture	berg	mauna	mount	monte	montem	maunga	mount	mount	?	monte	mlima	fäste	mynydd	khweza	
wens	ønske	wensen	wish	deziri	nais	souhaiter	wünschen	makemake	is mian	desiderio	volunt	hiahia	ønsker	desejo	?	desear	unataka	vill	dymuno	ufisa	
lug	himmel	hemel	sky	ĉielo	langit	ciel	himmel	lani	spéir	cielo	caelum	rangi	himmel	céu	?	cielo	anga	himmelsblå	awyr	isibhakabhaka	
direksie	bord	boord	board	surŝipe	board	conseil	board	papa	bord	pensione	tabulam	poari	brett	conselho	?	bordo	bodi	ombord	bwrdd	ebhodini	
vreugde	glæde	vreugde	joy	ĝojo	kagalakan	joie	freude	olioli	áthas	gioia	gaudium	hari	glede	alegria	?	alegría	furaha	glädje	llawenydd	injabulo	
winter	vinter	de winter	winter	vintro	taglamig	hiver	winter	hooilo	gheimhridh	inverno	winter	hotoke	vinter	inverno	?	invierno	majira ya baridi	vinter	gaeaf	ubusika	
sat	lør	zat	sat	sat	sab	sat	sa	pōʻaono	shuigh	sat	sat	rahoroi	sat	sat	?	satélite	ameketi	satellit	sat	wahlala	
geskryf	skriftlig	geschreven	written	skribita	nakasulat	écrit	geschrieben	kakauia	scríofa	scritto	scriptum	i tuhituhia	skrevet	escrito	?	escrito	imeandikwa	skriven	ysgrifenedig	ebhaliwe	
wilde	vild	wild	wild	sovaĝa	ligaw	sauvage	wilden	hihiu	fiáin	selvaggio	fera	mohoao	vill	selvagem	?	salvaje	pori	vild	gwyllt	sasendle	
instrument	redskab	instrument	instrument	instrumento	instrumento	instrument	instrument	hana	ionstraim	strumento	instrumentum	taputapu	instrument	instrumento	?	instrumento	chombo	instrumentet	offeryn	instrument	
gehou	holdt	gehouden	kept	konservis	pinananatiling	conservé	gehalten	malama	choimeád	tenere	custodivit	pupuri	holdt	guardado	?	guardado	naendelea	hålls	cadw	igcinwe	
glas	glas	glas	glass	vitro	salamin	verre	glas	aniani	gloine	vetro	vitro	karaihe	glass	vidro	?	vidrio	kioo	glas	gwydr	ingilazi	
gras	græs	gras	grass	herbo	damo	herbe	gras	ka mauu	féar	erba	fœnum	tarutaru	gress	grama	?	hierba	nyasi	gräs	glaswellt	utshani	
koei	ko	koe	cow	bovino	baka	vache	kuh	bipi	bó	mucca	vitulus	kau	ku	vaca	?	vaca	ng’ombe	ko	buwch	eyensikazi	
werk	job	werk	job	laboro	trabaho	emploi	arbeit	oihana	post	lavoro	officium	mahi	jobb	trabalho	?	trabajo	kazi	jobb	swydd	umsebenzi	
rand	kant	edge	edge	eĝo	gilid	bord	rand	lihi	imeall	bordo	ore	mata	kanten	borda	?	borde	makali	kanten	ymyl	emaphethelweni	
teken	tegn	teken	sign	signo	lagdaan	signe	zeichen	hoailona	comhartha	segno	signum	tohu	skilt	sinal	?	signo	ishara	tecken	arwydd	isibonakaliso	
besoek	besøg	bezoek	visit	vizito	pagbisita	visite	besuch	makaikai	cuairt a thabhairt ar	visita	visit	haerenga	besøk	visita	?	visita	ziara	besök	ymweliad	ukuvakasha	
verlede	fortid	verleden	past	estinteco	nakalipas	passé	vergangenheit	i hala iho nei	am atá thart	passato	past	mua	fortid	passado	?	pasado	siku za nyuma	förbi	gorffennol	esidlule	
sagte	blød	zachte	soft	mola	malambot	doux	weich	pahee	bog	morbido	molli	ngohengohe	myk	suave	?	suave	laini	mjuk	meddal	esithambile	
pret	sjov	lol	fun	amuza	magsaya	amusement	spaß	leʻaleʻa	spraoi	divertimento	fun	pārekareka	moro	diversão	?	diversión	furaha	kul	hwyl	kumnandi	
helder	lyse	heldere	bright	brila	maliwanag	clair	hell	ao alohilohi i	geal	luminoso	splendidum	kanapa	lyse	brilhante	?	brillante	mkali	ljust	llachar	egqamile	
gas	gas	gas	gas	gaso	gas	gaz	gases	kinoea	gáis	gas	vestibulum	hau	gass	gás	?	gas	gesi	gas	nwy	negesi	
weer	vejr	weer	weather	vetero	lagay ng panahon	temps	wetter	map	aimsir	tempo	tempestas	rangi	vær	tempo	?	tiempo	hali ya hewa	väder	tywydd	sezulu	
maand	måned	maand	month	monato	buwan	mois	monat	mahina	mí	mese	mense	marama	måned	mês	?	mes	mwezi	månad	mis	ngenyanga	
miljoen	millioner	miljoen	million	miliono	milyon	million	million	miliona	milliún	milione	million	miriona	millioner	milhão	?	millones	milioni	miljoner	miliwn	isigidi	
dra	bære	dragen	bear	elporti	madala	porter	tragen	lawe	iompróidh	sopportare	ferre	e mau	bære	suportar	?	soportar	kubeba	bära	arth	athwale	
afwerking	slut	afwerking	finish	fini	tapusin	finition	finish	hoʻopau	chríochnú	finitura	peroratum	whakaoti	ferdig	acabamento	?	acabado	kumaliza	yta	gorffen	sekugcineni	
gelukkig	glad	happy	happy	feliĉa	masaya	heureux	glücklich	hauʻoli	sásta	felice	beati	hari	lykkelig	feliz	?	feliz	furaha	lycklig	hapus	ojabulayo	
hoop	håber	hopen	hope	atendi	umaasa	espoir	hoffen	manaolana	tá súil	speranza	spero	te ti’aturi nei	håper	esperamos	?	esperanza	matumaini	hoppas	gobeithio	ngethemba	
blom	blomst	bloem	flower	floro	bulaklak	fleur	blume	pua	bláth	fiore	flos	puawai	blomst	flor	?	flor	ua	blomma	blodyn	mbali	
beklee	iklæde	kleden	clothe	vestu	damitan	vêtir	kleiden	hoaahu	clothe	vestire	induere	e kakahu ana io	ikle	vestir	?	vestir	nguo	kläder	dilladu	wembathise	
vreemde	mærkelig	vreemd	strange	stranga	kakaiba	étrange	seltsam	malihini	aisteach	strano	mirum	ke	merkelig	estranho	?	extraño	ajabu	främmande	rhyfedd	ongaziwa	
weg	væk	weg	gone	iritaj	nawala	disparu	vorbei	hana party	imithe	gone	abiit	riro	borte	gone	?	se ha ido	kuondoka	borta	wedi mynd	esehambile	
handel	handel	handel	trade	komerco	kalakalan	commerce	handel	kuai	trádáil	commercio	commercia	hokohoko	handel	comércio	?	comercio	biashara	handel	masnach	ezohwebo	
melodie	melodi	melodie	melody	melodio	melody	mélodie	melodie	e hoʻonui i	séis	melodia	melodiam	e waiata ana	melodi	melodia	?	melodía	kuimba	melodi	alaw	ihubo	
reis	tur	reis	trip	vojaĝo	paglalakbay	voyage	reise	huakai	turas	viaggio	trinus	haerenga	tur	viagem	?	viaje	safari	resa	daith	uhambo	
kantoor	kontor	kantoor	office	oficejo	opisina	bureau	büro	oihana	oifig	ufficio	officium	tari	kontor	escritório	?	oficina	ofisi	kontor	swyddfa	ihhovisi	
ontvang	modtage	ontvangen	receive	ricevos	tumanggap	recevoir	empfangen	loaa	fháil	ricevere	accipiet	ia farii i	motta	receber	?	recibir	kupokea	motta	derbyn	thola	
ry	række	rij	row	vico	hilera	rangée	reihe	lalani	as a chéile	fila	row	rarangi	rad	linha	?	fila	mstari	rad	rhes	irowu	
mond	mund	mond	mouth	buŝo	bibig	bouche	mund	waha	béal	bocca	os	mangai	munn	boca	?	boca	kinywa	mun	geg	umlomo	
presiese	eksakt	exacte	exact	ĝusta	eksaktong	exact	genau	mau	cruinn	esatto	exactam	tangohia	eksakte	exata	?	exacta	halisi	exakta	union	oluqondile	
simbool	symbolet	symbool	symbol	simbolo	simbolo	symbole	zeichen	hōʻailona	siombail	simbolo	signum	tohu	symbol	símbolo	?	símbolo	ishara	symbol	arwydd	uphawu	
sterf	dø	sterven	die	morti	mamatay	mourir	sterben	make	bás	morire	mortuus	mate	dø	morrer	?	morir	kufa	dö	marw	fa	
minste	mindst	minste	least	almenaŭ	hindi bababa sa	moins	am wenigsten	ka liʻiliʻi loa	ar a laghad	meno	minimus	te iti rawa	minst	menos	?	menos	angalau	minst	lleiaf	okungenani	
moeilikheid	besvær	problemen	trouble	malfelicxo	pag-	difficulté	ärger	pilikia	dtrioblóid	difficoltà	angustia	raruraru	trøbbel	dificuldade	?	problema	shida	besvär	trafferth	enkingeni	
skree	råbe	schreeuw	shout	krio	sigaw	cri	schrei	hooho	shout	shout	jubila	hamama	rop	grito	?	grito	kelele	rop	gweiddi	memeza	
behalwe	undtagen	behalve	except	krom	maliban sa	sauf	außer	koe nae	ach amháin	tranne	nisi	ki te kahore	bortsett fra	exceto	?	excepto	ila	utom	ac eithrio	kuphela	
geskryf	skrev	schreef	wrote	skribis	isinulat ni	écrit	schrieb	kakau iho la	scríobh	ha scritto	scripsit	i tuhituhi	skrev	escreveu	?	escribió	aliandika	skrev	ysgrifennodd	wabhala	
saad	frø	zaad	seed	semoj	buto	semence	samen	hua	síol	seme	semen	uri	seedet	semente	?	semilla	mbegu	frö	hadau	inzalo	
toon	tone	toon	tone	tono	tono	ton	ton	leo	ton	tono	tone	reo	tonen	tom	?	tono	tone	ton	tôn	umbala	
sluit	slutte	toetreden tot	join	aliĝi	sumali	joindre	beitreten	hui	páirt a	aderire	iungere	amui atu	bli med	juntar-se	?	unirse	kujiunga na	ansluta	ymuno	ukujoyina	
stel	tyder	suggereren	suggest	sugesti	iminumungkahi	suggérer	vorschlagen	paipai	fios	suggerire	suadeant	whakaaro	foreslå	sugerir	?	sugerir	kupendekeza	föreslår	awgrymu	basikisela	
skoon	ren	schoon	clean	purigi	malinis	propre	sauber	maemae	glan	pulito	mundi	ma	ren	limpo	?	limpia	safi	ren	lân	zihlanzekile	
break	pause	break	break	paŭzo	bakasyon	pause	pause	ʻoluʻolu o	sos	pausa	aspiret	break	pause	pausa	?	rotura	mapumziko	paus	egwyl	ukwephuka	
lady	dame	dame	lady	lady	ginang ng bansa	dame	dame	wahine	bhean	signora	dominae	wahine	damen	senhora	?	dama	mwanamke	damen	wraig	inenekazi	
agterplaas	værftet	yard	yard	jardo	bakuran	cour	hof	iwilei	clós	cantiere	navale	iari	tunet	quintal	?	patio	yadi	gård	iard	egcekeni	
styg	stige	stijgen	rise	supreniri	tumaas	augmenter	steigen	ala	ardú	salire	surgere	whakatika	stige	subir	?	aumentando	kupanda	stiga	codi	sukuma	
slegte	dårlig	slecht	bad	malbona	masama	mauvais	schlecht	ino	dona	male	malum	kino	dårlig	ruim	?	mal	mbaya	dålig	drwg	okubi	
blow	slag	klap	blow	baton	pumutok	coup	schlag	puupuu	buille	colpo	ictus	pupuhi	slag	golpe	?	golpe	pigo	smäll	ergyd	igalelo	
olie	olie	olie	oil	petrolo	langis	huile	öl	aila	ola	olio	olei	hinu	olje	óleo	?	aceite	mafuta	olja	olew	uwoyela	
bloed	blod	bloed	blood	sango	dugo	sang	blut	ke koko	fuil	sangue	sanguis	toto	blod	sangue	?	sangre	damu	blod	gwaed	negazi	
raak	røre	aanraken	touch	tuŝi	kalabitin	toucher	berühren	hoopa aku	teagmháil	toccare	tangerent	pa ki	røre	tocar	?	tocar	kugusa	rör	cyffwrdd	uthinte	
gegroei	voksede	groeide	grew	kreskis	lumago	a augmenté	wuchs	ulu	d’fhás	è cresciuto	crevit	tupu	vokste	cresceu	?	creció	ilikua	växte	tyfodd	lakhula	
persent	procent	procent	cent	cendo	sentimo	cent	cent	keneta	cent	cent	cent	ōrau	prosent	cento	?	ciento	cent	cent	cant	angu	
meng	mix	mengen	mix	miksi	paghaluin	mélanger	mischen	hui	meascán	mescolare	miscere	uru	bland	misturar	?	mezclar	kuchanganya	blanda	cymysgu	xuba	
span	hold	team	team	teamo	koponan	équipe	mannschaft	hui	fhoireann	team	bigas	rōpū	teamet	equipe	?	equipo	timu	lag	tîm	ithimba	
draad	ledning	draad	wire	drato	wire	fil	draht	uea	sreang	filo	wire	waea	ledning	fio	?	alambre	waya	tråd	gwifren	ucingo	
koste	omkostninger	kosten	cost	kosto	gastos	coût	kosten	kāki	costas	costo	cost	utu	kostnader	custo	?	costo	gharama	kostnad	chost	izindleko	
verloor	tabt	verloren	lost	perdita	nawala	perdu	verloren	nalowale	caillte	perso	perierat	ngaro	tapt	perdido	?	perdido	waliopotea	förlorat	gollwyd	walahlekelwa	
bruin	brun	bruin	brown	bruna	kayumanggi	brun	braun	palaunu	donn	marrone	brunneis	parauri	brun	marrom	?	marrón	kahawia	brun	brown	onsundu	
dra	slid	dragen	wear	surhavi	magsuot	porter	tragen	komo	chaitheamh	indossare	induere	kakahu	slitasje	desgaste	?	desgaste	kuvaa	slitage	gwisgo	bagqoke	
tuin	haven	tuin	garden	ĝardeno	hardin	jardin	garten	kīhāpai	gairdín	giardino	hortum	kari	hage	jardim	?	jardín	bustani	trädgård	gardd	yensimu	
gelyke	lige	gelijk	equal	egalaj	kapantay	égal	gleich	like	comhionann	pari	aequales	rite	lik	igual	?	igual	sawa	lika	gyfartal	alinganayo	
gestuur	sendt	verzonden	sent	sendis	ipinadala	expédié	gesendet	hoouna	sheoladh	inviato	misit	ka tonoa	sendt	enviado	?	enviado	alimtuma	skickat	anfon	wathumela	
kies	vælge	kiezen	choose	elekti	piliin	choisir	wählen	koho	roghnaigh	scegliere	elige	te whiriwhiri	velge	escolher	?	elegir	kuchagua	välja	dewis	akhethe	
val	faldt	viel	fell	falis	patumbahin	est tombé	fiel	haule iho la	thit	caduto	cecidit	hinga	falt	caiu	?	cayó	akaanguka	föll	syrthiodd	bawa	
pas	passe	passen	fit	persvadis	umangkop	s’adapter	passen	pono	oiriúnach	adattarsi	apta	uru	passe	caber	?	encajar	fit	passa	ffitio	linganisa	
vloei	flow	stromen	flow	fluas	dumaloy	débit	fließen	kahe ana	sreabhadh	flusso	influunt	rere	flyte	fluir	?	fluir	kati yake	flöde	llif	kopoza	
billike	retfærdig	eerlijk	fair	bela	makatarungan	juste	messe	maikai	cóir	fiera	pulchrae	ataahua	rettferdig	feira	?	justo	haki	verkligt	deg	ukujabulisa	
bank	bank	bank	bank	bordo	bangko	banque	bank	pali	banc	banca	ripam	pēke	bank	banco	?	banco	benki	bank	banc	ebhange	
versamel	indsamle	verzamelen	collect	kolekti	mangolekta	recueillir	sammeln	ohi	bhailiú	raccogliere	colligunt	kohikohi	samle	recolher	?	recoger	kukusanya	samla	casglu	ukuqoqa	
red	spare	besparen	save	ŝpari	i-save ang	sauver	sparen	hoola	shábháil	salvare	salvum	whakaora	spare	salvar	?	guardar	kuokoa	spara	arbed	ukusindisa	
beheer	kontrol	controle	control	kontrolo	kontrol	contrôle	kontrolle	hooponopono	rialú	controllo	imperium	mana	kontroll	controle	?	el control	kudhibiti	kontroll	rheoli	amandla okuphatha	
desimale	decimal	decimaal	decimal	dekuma	decimal	décimal	dezimal	kekimala	dheachúlach	decimale	decimales	ira	desimal	decimal	?	decimal	decimal	decimala	degol	zamadesimali	
oor	øre	oor	ear	orelo	tainga	oreille	ohr	pepeiao	cluas	orecchio	aurem	taringa	øret	ouvido	?	oído	sikio	örat	clust	indlebe	
anders	andet	anders	else	alia	iba pa	autre	sonst	e ae	eile	altro	aliud	atu	annet	mais	?	demás	mwingine	annars	arall	futhi	
baie	helt	heel	quite	tute	medyo	tout à fait	ganz	loa	go leor	abbastanza	prorsus	tino	ganske	bastante	?	bastante	kabisa	ganska	eithaf	ngempela	
gebreek	brød	brak	broke	rompis	sinira	cassé	pleite	uhai	bhris	rotto	fregit	whawhati	brøt	quebrado	?	rompió	kuvunja	bröt	torrodd	waphula	
geval	tilfælde	geval	case	okazo	kaso	cas	fall	hihia	cás	caso	ita	take	case	caso	?	caso	kesi	fall	achos	icala	
middel	midten	midden	middle	mezo	gitna	milieu	mitte	waena	lár	mezzo	mediam	waenganui	midten	meio	?	medio	katikati	mitten	canol	maphakathi	
dood te maak	dræbe	doden	kill	mortigi	pumatay	tuer	töten	pepehi	mharú	uccidere	occides	te whakamate	drepe	matar	?	matar	kuua	döda	lladd	babulale	
seun	søn	zoon	son	filo	anak	fils	sohn	keikikāne	mac	figlio	filius	tama	sønn	filho	?	hijo	mwana	son	mab	indodana	
meer	sø	meer	lake	lago	dagat-dagatan	lac	see	lake	loch	lago	stagnum	roto	innsjø	lago	?	lago	ziwa	sjö	llyn	ichweba	
oomblik	øjeblik	momenteel	moment	momenton	sandali	moment	moment	manawa	nóiméad	momento	momento	taime	øyeblikk	momento	?	momento	wakati	ögonblick	hyn o bryd	mzuzu	
skaal	skala	schaal	scale	skalo	iskala	échelle	maßstab	pālākiō	scála	scala	statera	tauine	skala	escala	?	escala	wadogo	skala	graddfa	isikali	
hard	højt	luid	loud	laŭta	malakas	fort	laut	loa	glórach	forte	magna	nui	høyt	alto	?	fuerte	kubwa	högt	uchel	elikhulu	
die lente	fjeder	voorjaar	spring	printempo	tagsibol	printemps	frühling	waipuna	earrach	primavera	ver	puna	våren	primavera	?	primavera	chemchemi	fjäder	gwanwyn	entwasahlobo	
neem	observere	waarnemen	observe	observi	obserbahan	observer	beobachten	malama	breathnú ar	osservare	observa	puritia e	observere	observar	?	observar	kuchunguza	observera	arsylwi	bona	
kind	barn	kind	child	infano	anak	enfant	kind	keiki	leanbh	bambino	puer	tamaiti	barn	criança	?	niño	mtoto	barn	plentyn	ingane	
reguit	lige ud	straight	straight	rektaj	tuwid	droit	gerade	pololei	díreach	dritto	rectas	tika tonu	rett	reta	?	recta	moja kwa moja	rak	syth	iqonde	
konsonant	konsonant	medeklinker	consonant	konsonanto	katinig	consonne	konsonant	leokanipū	consan	consonante	consonans	orokati	konsonant	consoante	?	consonante	consonant	konsonant	cytseiniaid	lehamba	
nasie	nation	natie	nation	nacio	bansa	nation	nation	lahuikanaka	náisiún	nazione	gentem	iwi	nasjon	nação	?	nación	taifa	nation	cenedl	isizwe	
woordeboek	ordbog	woordenboek	dictionary	vortaro	diksyunaryo	dictionnaire	wörterbuch	puke weheweheʻōlelo	foclóir	dizionario	dictionary	papakupu	ordbok	dicionário	?	diccionario	kamusi	ordbok	geiriadur	isichazamazwi	
melk	mælk	melk	milk	lakto	gatas	lait	milch	waiu	bainne	latte	lac	te waiu	melk	leite	?	leche	maziwa	mjölk	llaeth	ubisi	
spoed	hastighed	snelheid	speed	rapido	bilis	vitesse	geschwindigkeit	ka māmā holo	luas	velocità	celeritate	tere	hastighet	velocidade	?	velocidad	kasi	hastighet	cyflymder	isivinini	
metode	metode	methode	method	metodo	pamamaraan	méthode	verfahren	hana	modh	metodo	methodo	tikanga	metode	método	?	método	njia	metod	dull	indlela	
orrel	orgel	orgel	organ	organo	organ	organe	orgel	hui	orgán	organo	organo	whēkau	organ	órgão	?	órgano	chombo	organ	organ	sitho	
betaal	betale	betalen	pay	pagi	bayaran	payer	zahlen	uku	íoc	pagare	redde	aufau i te	betale	pagar	?	pagar	kulipa	betala	talu	ukhokhe	
ouderdom	alder	leeftijd	age	aĝo	edad	âge	alter	makahiki	aois	età	saeculi	tau	alder	idade	?	edad	umri	okänd	oedran	yobudala	
artikel	sektion	sectie	section	sekcio	seksyon	section	abschnitt	pauku	alt	sezione	section	wāhanga	seksjon	seção	?	sección	sehemu	sektion	adran	ingxenye	
rok	kjole	kleding	dress	robo	damit	robe	kleid	male	gúna	vestito	habitus	kākahu	kjole	vestido	?	vestido	mavazi	klänning	gwisg	ingubo	
wolk	sky	wolk	cloud	nubo	cloud	nuage	wolke	ao	scamall	nube	nubes	kapua	skyen	nuvem	?	nube	wingu	moln	cwmwl	ifu	
verrassing	overraskelse	verrassing	surprise	surprizo	sorpresa	surprise	überraschung	haohao	iontas	sorpresa	mirantique	maere	overraskelse	surpresa	?	sorpresa	mshangao	överraskning	syndod	ngamangala	
stil	stille	rustig	quiet	trankvila	tahimik	calme	ruhig	mālie	ciúin	tranquillo	quietum	ata	stille	calma	?	tranquila	utulivu	ro	dawel	onokuthula	
klip	sten	steen	stone	ŝtono	bato	pierre	stein	pohaku	cloch	pietra	lapis	kohatu	stein	pedra	?	piedra	jiwe	sten	cerrig	tshe	
klein	lille	minuscuul	tiny	etajn	maliit na maliit	minuscule	winzig	wahi	beag bídeach	piccolo	vegrandis	iti	tiny	minúsculo	?	pequeño	vidogo	liten	bach	omncanyana	
klim	klatre	klimmen	climb	grimpo	umakyat	montée	aufstieg	pii ana	tóg	salita	ascenditur	piki	klatre	subida	?	ascenso	kupanda	klättra	dringo	enyuka	
modern	køligt	koele	cool	malvarmeta	malamig	frais	kühlen	anu	fionnuar	fresco	frigus	hauhautanga	kult	legal	?	fresco	baridi	sval	oer	abandayo	
ontwerp	konstruktion	ontwerp	design	dezajno	disenyo	conception	entwurf	manao	dearadh	design	consilium	hoahoa	utforming	projeto	?	diseño	kubuni	konstruktion	dylunio	songoza	
swak	dårlig	slechte	poor	malriĉa	mahirap	pauvres	arm	ilihune	droch	povero	pauper	rawakore	dårlig	pobre	?	pobre	maskini	dålig	gwael	abampofu	
baie	parti	veel	lot	multa	marami	lot	menge	puu	leor	lotto	multum	rota	mye	muito	?	mucho	mengi	mycket	llawer	uquqaba	
